Páginas;Formato;Cor;Papel Miolo;Papel Capa;50;100;150
4 Páginas;20 x 20 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;441,03;661,09;785,48
4 Páginas;20 x 20 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;446,93;676,22;801,90
4 Páginas;20 x 20 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;515,49;755,02;896,90
4 Páginas;20 x 20 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;521,40;770,15;913,32
4 Páginas;20 x 20 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;466,99;692,38;807,08
4 Páginas;20 x 20 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;472,89;707,51;823,50
4 Páginas;20 x 20 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;441,03;661,09;785,48
4 Páginas;20 x 20 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;446,93;676,22;801,90
4 Páginas;20 x 20 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;515,49;755,02;896,90
4 Páginas;20 x 20 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;521,40;770,15;913,32
4 Páginas;20 x 20 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;466,99;692,38;807,08
4 Páginas;20 x 20 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;472,89;707,51;823,50
4 Páginas;21 x 15 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;414,55;608,22;706,18
4 Páginas;21 x 15 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;420,18;622,80;721,78
4 Páginas;21 x 15 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;483,45;694,72;806,45
4 Páginas;21 x 15 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;489,08;709,29;822,05
4 Páginas;21 x 15 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;442,19;643,64;733,96
4 Páginas;21 x 15 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;447,82;658,22;749,57
4 Páginas;21 x 15 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;414,55;608,22;706,18
4 Páginas;21 x 15 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;420,18;622,80;721,78
4 Páginas;21 x 15 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;483,45;694,72;806,45
4 Páginas;21 x 15 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;489,08;709,29;822,05
4 Páginas;21 x 15 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;442,19;643,64;733,96
4 Páginas;21 x 15 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;447,82;658,22;749,57
4 Páginas;28 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;499,58;778,02;960,87
4 Páginas;28 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 150g;506,10;794,36;979,11
4 Páginas;28 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 115g;586,37;888,39;1.096,96
4 Páginas;28 x 21 cm;1x1 (p/b);Reciclato 90g;Couché Fosco 150g;592,87;904,74;1.036,12
4 Páginas;28 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 115g;521,84;800,20;968,80
4 Páginas;28 x 21 cm;1x1 (p/b);Couché Fosco 90g;Couché Fosco 150g;528,35;816,54;987,05
4 Páginas;28 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 115g;499,58;778,02;960,87
4 Páginas;28 x 21 cm;4x4 (colorido);Offset 90g;Couché Fosco 150g;506,10;794,36;979,11
4 Páginas;28 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 115g;586,37;888,39;1.096,96
4 Páginas;28 x 21 cm;4x4 (colorido);Reciclato 90g;Couché Fosco 150g;592,87;904,74;1.036,12
4 Páginas;28 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 115g;521,84;800,20;968,80
4 Páginas;28 x 21 cm;4x4 (colorido);Couché Fosco 90g;Couché Fosco 150g;528,35;816,54;987,05
4 Páginas;29,7 x 21 cm;1x1 (p/b);Offset 90g;Couché Fosco 115g;510,71;800,22;994,17
